County,Total,w/o NYC counties,
Albany,8777,8777,
Allegany,507,507,
Bronx,35507,,
Broome,5568,5568,
Cattaraugus,1158,1158,
Cayuga,1341,1341,
Chautauqua,2786,2786,
Chemung,1567,1567,
Chenango,685,685,
Clinton,1214,1214,
Columbia,970,970,
Cortland,994,994,
Delaware,520,520,
Dutchess,3834,3834,
Erie,23371,23371,
Essex,419,419,
Franklin,688,688,
Fulton,1087,1087,
Genesee,1142,1142,
Greene,632,632,
Hamilton,36,36,
Herkimer,1125,1125,
Jefferson,2253,2253,
Kings,49766,,
Lewis,257,257,
Livingston,809,809,
Madison,983,983,
Monroe,18945,18945,
Montgomery,938,938,
Nassau,14016,14016,
New York,47146,,
Niagara,5455,5455,
Oneida,4773,4773,
Onondaga,10893,10893,
Ontario,1622,1622,
Orange,6739,6739,
Orleans,763,763,
Oswego,1980,1980,
Otsego,732,732,
Putnam,628,628,
Queens,32860,,
Rensselaer,3513,3513,
Richmond,5969,,
Rockland,3404,3404,
Saratoga,2795,2795,
Schenectady,4592,4592,
Schoharie,314,314,
Schuyler,70,70,
Seneca,568,568,
St Lawrence,1512,1512,
Steuben,1263,1263,
Suffolk,20543,20543,
Sullivan,1280,1280,
Tioga,456,456,
Tompkins,1949,1949,
Ulster,2550,2550,
Warren,1079,1079,
Washington,503,503,
Wayne,1487,1487,
Westchester,11572,11572,
Wyoming,346,346,
Yates,259,259,
TOTALS,361510,190262,0.526298028
