id,County,Total,Murder,AggravatedAssault,Burglary,MotorVehicleTheft
36001,Albany,8777,8,724,787,222
36003,Allegany,507,2,41,80,14
36005,Bronx,35507,72,8341,2108,1356
36007,Broome,5568,4,402,786,144
36009,Cattaraugus,1158,2,69,189,33
36011,Cayuga,1341,1,138,179,25
36013,Chautauqua,2786,3,221,513,82
36015,Chemung,1567,4,79,185,34
36017,Chenango,685,3,30,116,10
36019,Clinton,1214,0,62,171,23
36021,Columbia,970,1,83,139,28
36023,Cortland,994,0,11,165,14
36025,Delaware,520,0,25,103,12
36027,Dutchess,3834,5,348,405,80
36029,Erie,23371,46,2055,3755,1140
36031,Essex,419,1,26,91,14
36033,Franklin,688,1,37,136,26
36035,Fulton,1087,0,55,142,27
36037,Genesee,1142,0,106,158,32
36039,Greene,632,1,94,99,16
36041,Hamilton,36,0,2,7,3
36043,Herkimer,1125,1,107,148,28
36045,Jefferson,2253,4,125,292,47
36047,Kings,49766,111,9276,3659,1925
36049,Lewis,257,0,13,74,6
36051,Livingston,809,0,26,77,28
36053,Madison,983,1,43,153,24
36055,Monroe,18945,35,1357,2341,956
36057,Montgomery,938,1,31,121,23
36059,Nassau,14016,17,993,1109,653
36061,New York,47146,46,5346,2215,638
36063,Niagara,5455,3,483,844,275
36065,Oneida,4773,4,378,666,129
36067,Onondaga,10893,24,839,1744,574
36069,Ontario,1622,2,59,257,36
36071,Orange,6739,8,503,613,174
36073,Orleans,763,0,57,88,20
36075,Oswego,1980,1,104,406,74
36077,Otsego,732,4,42,116,15
36079,Putnam,628,1,29,94,18
36081,Queens,32860,50,5788,2721,1582
36083,Rensselaer,3513,6,245,556,134
36085,Richmond,5969,13,1020,401,234
36087,Rockland,3404,1,227,265,94
36091,Saratoga,2795,2,159,346,68
36093,Schenectady,4592,2,428,525,220
36095,Schoharie,314,0,12,67,11
36097,Schuyler,70,0,4,13,2
36099,Seneca,568,0,46,70,3
36089,St Lawrence,1512,1,77,208,37
36101,Steuben,1263,1,83,209,33
36103,Suffolk,20543,22,1003,1626,1088
36105,Sullivan,1280,2,108,261,35
36107,Tioga,456,0,20,79,28
36109,Tompkins,1949,1,47,187,33
36111,Ulster,2550,2,182,309,65
36113,Warren,1079,3,50,131,23
36115,Washington,503,2,35,72,16
36117,Wayne,1487,3,87,241,43
36119,Westchester,11572,19,1193,1009,586
36121,Wyoming,346,0,41,58,14
36123,Yates,259,0,14,42,3
